title,author,pages,type,order
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinkner,576,learn,1
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,259,learn,13
How to Do Nothing: Resisting the Attention Economy,Jenny Odell ,240,learn,12
Trick Mirror: Reflections on Self-Delusion,Jia Tolentino,303,fun,11
Winners Take All: The Elite Charade of Changing the World,Anand Giridharadas ,288,learn,19
"Technically Wrong: Sexist Apps, Biased Algorithms, and Other Threats of Toxic Tech",Sara Wachter-Boettcher,240,learn,4
Dear Data,Giorgia Lupi ,289,learn,18
The Montessori Toddler: A Parent's Guide to Raising a Curious and Responsible Human Being,Simone Davies,245,learn,17
No Bad Kids: Toddler Discipline Without Shame,Janet Lansbury,162,learn,5
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel A. van der Kolk,443,learn,6
The Rosie Project,Graeme Simsion,295,fun,8
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,368,learn,16
Circe,Madeline Miller ,393,fun,15
"Automating Inequality: How High-Tech Tools Profile, Police, and Punish the Poor",Virginia Eubanks ,272,learn,7
How to Talk So Kids Will Listen & Listen So Kids Will Talk,"Adele Faber, Elaine Mazlish, Kimberly Ann Coe",286,learn,3
Homo Deus: A History of Tomorrow,Yuval Noah Harari,450,learn,10
A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,322,learn,2
Sapiens: A Brief History of Humankind,Yuval Noah Harari,498,learn,9
Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,368,learn,14
Where the Crawdads Sing,Delia Owens,384,fun,20